Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1923,6.9,7.6,13.1,16.9,20.8,24,27.8,31.7,27.7 ),21.3,16.7,10.7
1924,8.8,9.8,10.1,19.1,21.9,23.6,30.8,30.7,25.9,19.5,16.1,10.3
1925,7.9,6.9,12.2,16.8,21.2,24.2,27.1,29.7,26.6,20.7,16.5,12.5
1926,9,9.8,11.2,17.1,21,23.8,28.9,30.8,27.3,19.9,15.6,9.2
1927,8.4,7,11.3,18.2,21.9,25.1,30.2,31.4,24.9,21,16.5,10.7
1928,8.8,8.7,12,17.2,21.8,23.5,26.6,27.7,27.9,20.6,16.5,10
1929,8.2,8.8,12.4,16.8,19.7,24.7,29.8,31.4,24.3,20.2,14.8,12.8
1930,8.4,9.6,13,18.6,22.2,25.1,30,30.6,26.2,21.3,15.6,10.1
1931,7.8,6.4,13.6,17.4,21,24.3,25.1,30.4,26.4,21,15.9,12.1
1932,11.5,9.2,12.2,16.9,22.6,23.4,29.4,30.6,25.3,20.7,16.1,11.1
1933,7.6,8.5,9.6,16.2,23.1,26,30.7,31.6,27.8,21.5,16.3,11.7
1934,8.3,9.7,11.4,16.1,22.5,26.3,27.5,30.4,25.1,18.5,15.9,10.6
1935,8.9,9.4,12.5,17.3,21.2,25.8,28.3,28.2,24.3,22.1,15.6,10.8
1936,7.5,6.8,11.1,16.9,20.5,25.1,28.9,30.8,28.5,20.1,15.4,11.4
1937,9.2,10.4,13.2,17.6,22.1,23.4,29.8,32.8,26.9,20.6,15.9,11.1
1938,8.2,8.2,13.2,18.3,22.7,24.8,29.1,29.7,26.4,20.9,16.4,10.7
1939,7.2,9.1,12.6,17.3,20.9,24.7,30.7,29.8,27.7,22.1,16.9,11.1
1940,8.9,8.9,13.3,18,23,26.8,31.8,29,26.2,22.2,16.7,11.5
1941,10.6,10.5,12.9,17.3,21.9,24.3,27.4,29.3,24.2,22.5,16.2,11.9
1942,8.8,7.2,15.8,18.8,22,26.3,31.9,31.3,29.1,21.4,15.4,10.8
1943,8,9.4,11.9,16.8,22.5,25.6,29,31.9,28.4,21.3,16.2,11.4
1944,8.7,8.8,10.8,15.7,22.5,27,30.3,32.1,27.6,20.4,15.4,10.4
1945,7.4,6.9,11.8,19.8,20.7,24.6,26.1,31.3,26.5,20.9,16.8,11.1
1946,9.3,9.5,10.7,19.6,21.2,28,30.8,31.4,28,22,17.1,10.4
1947,8,8.9,11.9,19,21.7,22.8,30.5,33.3,27.1,19.8,15.7,9.6
1948,10.1,10.6,11.3,18.6,22.5,25.6,30.6,29.7,28.2,21.8,17,13.1
1949,11.7,11.5,11.9,17.4,23.4,23.1,29.5,31.4,27,20.3,14.5,10.6
